ParentNode [0,766] X:-320.00,320.00  Y:-320.00,320.00  Z:-320.00,320.00
mzb:204, mmb:99  X:(7.05,8.66),  Y:(-4.73,-4.07),  Z:(205.94,207.71)
mzb:258, mmb:61  X:(14.06,15.96),  Y:(-7.18,-5.28),  Z:(213.99,214.14)
mzb:259, mmb:61  X:(18.06,19.96),  Y:(-7.18,-5.28),  Z:(213.99,214.14)
mzb:260, mmb:61  X:(12.06,13.96),  Y:(-7.18,-5.28),  Z:(213.99,214.14)
mzb:261, mmb:61  X:(16.06,17.96),  Y:(-7.18,-5.28),  Z:(213.99,214.14)
mzb:262, mmb:61  X:(10.06,11.96),  Y:(-7.18,-5.28),  Z:(213.99,214.14)
mzb:277, mmb:103  X:(13.24,14.59),  Y:(-16.50,-15.50),  Z:(217.48,218.82)
mzb:278, mmb:100  X:(14.23,16.73),  Y:(-11.99,-11.00),  Z:(217.99,219.86)
mzb:281, mmb:107  X:(8.39,9.95),  Y:(-2.35,-2.13),  Z:(201.28,202.73)
mzb:282, mmb:107  X:(9.67,10.92),  Y:(-2.96,-2.74),  Z:(201.79,203.32)
mzb:283, mmb:107  X:(11.21,12.53),  Y:(-3.50,-3.28),  Z:(202.48,204.03)
mzb:284, mmb:107  X:(11.16,12.61),  Y:(-3.30,-3.08),  Z:(202.72,203.79)
mzb:285, mmb:99  X:(9.94,10.89),  Y:(-2.76,-2.10),  Z:(202.00,203.50)
mzb:299, mmb:47  X:(6.08,7.59),  Y:(-7.36,-3.15),  Z:(209.96,211.51)
mzb:300, mmb:49  X:(8.84,11.94),  Y:(-12.05,-5.54),  Z:(210.84,214.15)
mzb:301, mmb:49  X:(8.76,12.73),  Y:(-9.84,-5.20),  Z:(208.71,213.91)
mzb:306, mmb:104  X:(10.78,12.63),  Y:(-6.95,-5.45),  Z:(211.91,213.75)
mzb:311, mmb:104  X:(12.33,14.34),  Y:(-15.49,-13.99),  Z:(217.10,219.11)
mzb:328, mmb:101  X:(18.57,19.91),  Y:(-2.94,-1.94),  Z:(205.46,206.81)
mzb:329, mmb:101  X:(11.39,12.73),  Y:(-10.50,-9.50),  Z:(216.59,217.93)
mzb:330, mmb:101  X:(12.71,14.01),  Y:(-10.50,-9.50),  Z:(217.38,218.68)
mzb:331, mmb:104  X:(11.71,13.71),  Y:(-12.50,-11.00),  Z:(216.46,218.46)
mzb:332, mmb:100  X:(12.87,15.26),  Y:(-4.58,-3.59),  Z:(205.70,207.36)
mzb:333, mmb:104  X:(14.00,16.09),  Y:(-3.60,-2.10),  Z:(205.31,207.41)
mzb:337, mmb:104  X:(12.38,14.08),  Y:(-3.60,-2.10),  Z:(205.63,207.34)
mzb:342, mmb:103  X:(11.65,12.65),  Y:(-7.95,-6.95),  Z:(211.50,212.50)
mzb:358, mmb:100  X:(12.56,15.13),  Y:(-6.16,-5.18),  Z:(211.13,213.15)
mzb:359, mmb:103  X:(16.08,17.14),  Y:(-9.31,-8.31),  Z:(210.40,211.46)
mzb:360, mmb:100  X:(12.48,14.67),  Y:(-7.14,-6.15),  Z:(209.59,212.21)
mzb:361, mmb:99  X:(12.90,14.62),  Y:(-7.77,-7.11),  Z:(210.16,211.90)
mzb:362, mmb:100  X:(12.15,14.62),  Y:(-6.16,-5.18),  Z:(209.54,211.34)
mzb:363, mmb:102  X:(15.61,17.69),  Y:(-8.33,-6.83),  Z:(209.95,212.03)
mzb:364, mmb:102  X:(15.73,17.57),  Y:(-6.84,-5.34),  Z:(210.07,211.91)
mzb:365, mmb:102  X:(14.26,16.23),  Y:(-6.78,-5.28),  Z:(208.55,210.52)
mzb:366, mmb:103  X:(17.76,18.97),  Y:(-6.45,-5.45),  Z:(210.58,211.79)
mzb:368, mmb:101  X:(13.39,14.75),  Y:(-5.58,-4.58),  Z:(205.85,207.22)
mzb:369, mmb:55  X:(11.15,13.10),  Y:(-5.23,-2.04),  Z:(206.51,208.51)
mzb:370, mmb:100  X:(6.81,9.20),  Y:(-4.08,-3.09),  Z:(205.94,207.60)
mzb:371, mmb:101  X:(8.13,9.47),  Y:(-3.10,-2.10),  Z:(205.91,207.26)
mzb:372, mmb:101  X:(6.57,7.72),  Y:(-3.10,-2.10),  Z:(206.00,207.15)
ParentNode [1512,41] X:0.00,20.00  Y:-20.00,0.00  Z:200.00,220.00
Parent: 1512,41] ChildBox 0)  X:(0.00,10.00)  Y:(-20.00,-10.00)  Z:(210.00,220.00)
Parent: 1512,41] ChildBox 1)  X:(10.00,20.00)  Y:(-20.00,-10.00)  Z:(210.00,220.00)
mzb:277, mmb:103  X:(13.24,14.59),  Y:(-16.50,-15.50),  Z:(217.48,218.82)
mzb:278, mmb:100  X:(14.23,16.73),  Y:(-11.99,-11.00),  Z:(217.99,219.86)
mzb:311, mmb:104  X:(12.33,14.34),  Y:(-15.49,-13.99),  Z:(217.10,219.11)
mzb:331, mmb:104  X:(11.71,13.71),  Y:(-12.50,-11.00),  Z:(216.46,218.46)
Parent: 1512,41] ChildBox 2)  X:(0.00,10.00)  Y:(-20.00,-10.00)  Z:(200.00,210.00)
Parent: 1512,41] ChildBox 3)  X:(10.00,20.00)  Y:(-20.00,-10.00)  Z:(200.00,210.00)
Parent: 1512,41] ChildBox 4)  X:(0.00,10.00)  Y:(-10.00,0.00)  Z:(210.00,220.00)
Parent: 1512,41] ChildBox 5)  X:(10.00,20.00)  Y:(-10.00,0.00)  Z:(210.00,220.00)
mzb:258, mmb:61  X:(14.06,15.96),  Y:(-7.18,-5.28),  Z:(213.99,214.14)
mzb:259, mmb:61  X:(18.06,19.96),  Y:(-7.18,-5.28),  Z:(213.99,214.14)
mzb:260, mmb:61  X:(12.06,13.96),  Y:(-7.18,-5.28),  Z:(213.99,214.14)
mzb:261, mmb:61  X:(16.06,17.96),  Y:(-7.18,-5.28),  Z:(213.99,214.14)
mzb:262, mmb:61  X:(10.06,11.96),  Y:(-7.18,-5.28),  Z:(213.99,214.14)
mzb:306, mmb:104  X:(10.78,12.63),  Y:(-6.95,-5.45),  Z:(211.91,213.75)
mzb:342, mmb:103  X:(11.65,12.65),  Y:(-7.95,-6.95),  Z:(211.50,212.50)
mzb:358, mmb:100  X:(12.56,15.13),  Y:(-6.16,-5.18),  Z:(211.13,213.15)
mzb:359, mmb:103  X:(16.08,17.14),  Y:(-9.31,-8.31),  Z:(210.40,211.46)
mzb:361, mmb:99  X:(12.90,14.62),  Y:(-7.77,-7.11),  Z:(210.16,211.90)
mzb:364, mmb:102  X:(15.73,17.57),  Y:(-6.84,-5.34),  Z:(210.07,211.91)
mzb:366, mmb:103  X:(17.76,18.97),  Y:(-6.45,-5.45),  Z:(210.58,211.79)
Parent: 1512,41] ChildBox 6)  X:(0.00,10.00)  Y:(-10.00,0.00)  Z:(200.00,210.00)
mzb:204, mmb:99  X:(7.05,8.66),  Y:(-4.73,-4.07),  Z:(205.94,207.71)
mzb:281, mmb:107  X:(8.39,9.95),  Y:(-2.35,-2.13),  Z:(201.28,202.73)
mzb:370, mmb:100  X:(6.81,9.20),  Y:(-4.08,-3.09),  Z:(205.94,207.60)
mzb:371, mmb:101  X:(8.13,9.47),  Y:(-3.10,-2.10),  Z:(205.91,207.26)
mzb:372, mmb:101  X:(6.57,7.72),  Y:(-3.10,-2.10),  Z:(206.00,207.15)
Parent: 1512,41] ChildBox 7)  X:(10.00,20.00)  Y:(-10.00,0.00)  Z:(200.00,210.00)
mzb:193, mmb:100  X:(11.02,12.77),  Y:(-3.09,-2.10),  Z:(201.88,204.31)
mzb:283, mmb:107  X:(11.21,12.53),  Y:(-3.50,-3.28),  Z:(202.48,204.03)
mzb:284, mmb:107  X:(11.16,12.61),  Y:(-3.30,-3.08),  Z:(202.72,203.79)
mzb:328, mmb:101  X:(18.57,19.91),  Y:(-2.94,-1.94),  Z:(205.46,206.81)
mzb:332, mmb:100  X:(12.87,15.26),  Y:(-4.58,-3.59),  Z:(205.70,207.36)
mzb:333, mmb:104  X:(14.00,16.09),  Y:(-3.60,-2.10),  Z:(205.31,207.41)
mzb:337, mmb:104  X:(12.38,14.08),  Y:(-3.60,-2.10),  Z:(205.63,207.34)
mzb:368, mmb:101  X:(13.39,14.75),  Y:(-5.58,-4.58),  Z:(205.85,207.22)
mzb:369, mmb:55  X:(11.15,13.10),  Y:(-5.23,-2.04),  Z:(206.51,208.51)
Parent: 1417,79] ChildBox 7)  X:(20.00,40.00)  Y:(-20.00,0.00)  Z:(200.00,220.00)
mzb:230, mmb:1  X:(22.54,23.04),  Y:(-7.76,-5.30),  Z:(215.05,215.56)
mzb:233, mmb:1  X:(26.84,27.34),  Y:(-7.76,-5.30),  Z:(214.96,215.46)
mzb:257, mmb:61  X:(20.06,21.96),  Y:(-7.18,-5.28),  Z:(215.92,216.06)
mzb:295, mmb:104  X:(20.09,22.03),  Y:(-8.61,-7.11),  Z:(217.41,219.35)
mzb:296, mmb:104  X:(22.47,24.31),  Y:(-7.14,-5.64),  Z:(217.85,219.68)
mzb:297, mmb:49  X:(27.90,29.44),  Y:(-7.82,-0.75),  Z:(205.15,208.07)
mzb:298, mmb:47  X:(30.52,31.04),  Y:(-5.23,-0.71),  Z:(208.49,209.01)
mzb:305, mmb:104  X:(20.32,22.40),  Y:(-7.11,-5.61),  Z:(216.63,218.71)
mzb:308, mmb:103  X:(29.23,30.35),  Y:(-6.10,-4.78),  Z:(212.16,213.39)
mzb:327, mmb:106  X:(29.52,30.79),  Y:(-3.89,-3.43),  Z:(207.79,209.06)
mzb:367, mmb:55  X:(29.90,32.53),  Y:(-7.43,-4.44),  Z:(211.42,213.32)
ParentNode [1583,11] X:20.00,40.00  Y:-20.00,0.00  Z:200.00,220.00
Parent: 1583,11] ChildBox 0)  X:(20.00,30.00)  Y:(-20.00,-10.00)  Z:(210.00,220.00)
Parent: 1583,11] ChildBox 1)  X:(30.00,40.00)  Y:(-20.00,-10.00)  Z:(210.00,220.00)
Parent: 1583,11] ChildBox 2)  X:(20.00,30.00)  Y:(-20.00,-10.00)  Z:(200.00,210.00)
Parent: 1583,11] ChildBox 3)  X:(30.00,40.00)  Y:(-20.00,-10.00)  Z:(200.00,210.00)
Parent: 1583,11] ChildBox 4)  X:(20.00,30.00)  Y:(-10.00,0.00)  Z:(210.00,220.00)
mzb:230, mmb:1  X:(22.54,23.04),  Y:(-7.76,-5.30),  Z:(215.05,215.56)
mzb:233, mmb:1  X:(26.84,27.34),  Y:(-7.76,-5.30),  Z:(214.96,215.46)
mzb:257, mmb:61  X:(20.06,21.96),  Y:(-7.18,-5.28),  Z:(215.92,216.06)
mzb:295, mmb:104  X:(20.09,22.03),  Y:(-8.61,-7.11),  Z:(217.41,219.35)
mzb:296, mmb:104  X:(22.47,24.31),  Y:(-7.14,-5.64),  Z:(217.85,219.68)
mzb:305, mmb:104  X:(20.32,22.40),  Y:(-7.11,-5.61),  Z:(216.63,218.71)
Parent: 1583,11] ChildBox 5)  X:(30.00,40.00)  Y:(-10.00,0.00)  Z:(210.00,220.00)
Parent: 1583,11] ChildBox 6)  X:(20.00,30.00)  Y:(-10.00,0.00)  Z:(200.00,210.00)
mzb:297, mmb:49  X:(27.90,29.44),  Y:(-7.82,-0.75),  Z:(205.15,208.07)
Parent: 1583,11] ChildBox 7)  X:(30.00,40.00)  Y:(-10.00,0.00)  Z:(200.00,210.00)
mzb:298, mmb:47  X:(30.52,31.04),  Y:(-5.23,-0.71),  Z:(208.49,209.01)
Parent: 1277,140] ChildBox 5)  X:(40.00,80.00)  Y:(-40.00,0.00)  Z:(200.00,240.00)
Parent: 1277,140] ChildBox 6)  X:(0.00,40.00)  Y:(-40.00,0.00)  Z:(160.00,200.00)
mzb:203, mmb:101  X:(0.86,2.18),  Y:(-1.60,-0.60),  Z:(160.01,161.33)
mzb:376, mmb:55  X:(0.65,3.10),  Y:(-0.82,-0.62),  Z:(163.79,167.32)
Parent: 1277,140] ChildBox 7)  X:(40.00,80.00)  Y:(-40.00,0.00)  Z:(160.00,200.00)
mzb:194, mmb:102  X:(59.16,61.19),  Y:(-15.48,-13.98),  Z:(177.98,180.01)
mzb:198, mmb:101  X:(64.97,65.97),  Y:(-7.46,-6.46),  Z:(178.91,179.91)
mzb:199, mmb:101  X:(64.35,65.35),  Y:(-7.52,-6.52),  Z:(177.86,178.86)
mzb:200, mmb:101  X:(64.74,65.74),  Y:(-8.46,-7.46),  Z:(178.53,179.53)
mzb:208, mmb:105  X:(45.38,46.42),  Y:(-2.94,-1.98),  Z:(174.85,175.90)
mzb:210, mmb:107  X:(45.55,47.01),  Y:(-3.18,-2.96),  Z:(173.83,174.92)
mzb:219, mmb:52  X:(57.65,72.79),  Y:(-14.43,-5.50),  Z:(166.28,183.81)
mzb:222, mmb:59  X:(53.77,56.15),  Y:(-18.00,-5.00),  Z:(166.53,192.00)
mzb:249, mmb:1  X:(70.17,70.67),  Y:(-8.13,-5.67),  Z:(185.80,186.30)
mzb:251, mmb:60  X:(50.62,56.22),  Y:(-10.75,-5.35),  Z:(187.38,188.45)
mzb:252, mmb:102  X:(45.89,47.39),  Y:(-3.46,-1.96),  Z:(172.32,173.82)
mzb:253, mmb:101  X:(45.76,46.97),  Y:(-2.97,-1.97),  Z:(173.91,175.12)
mzb:254, mmb:103  X:(49.43,50.84),  Y:(-6.45,-5.45),  Z:(175.69,177.10)
mzb:255, mmb:100  X:(49.94,52.51),  Y:(-6.39,-5.40),  Z:(173.36,175.39)
mzb:256, mmb:103  X:(52.09,53.15),  Y:(-9.54,-8.54),  Z:(171.42,172.48)
mzb:263, mmb:61  X:(54.04,55.95),  Y:(-7.18,-5.28),  Z:(179.93,180.08)
mzb:264, mmb:61  X:(53.98,54.12),  Y:(-7.18,-5.28),  Z:(178.04,179.94)
mzb:265, mmb:61  X:(53.98,54.12),  Y:(-7.18,-5.28),  Z:(176.04,177.94)
mzb:266, mmb:61  X:(53.98,54.12),  Y:(-7.18,-5.28),  Z:(174.04,175.94)
mzb:267, mmb:61  X:(53.98,54.12),  Y:(-7.18,-5.28),  Z:(172.04,173.94)
mzb:268, mmb:61  X:(53.98,54.12),  Y:(-7.18,-5.28),  Z:(170.04,171.94)
mzb:286, mmb:100  X:(49.86,52.05),  Y:(-7.36,-6.37),  Z:(171.82,174.45)
mzb:287, mmb:102  X:(62.09,64.06),  Y:(-12.47,-10.97),  Z:(179.55,181.52)
mzb:288, mmb:102  X:(63.27,65.09),  Y:(-12.47,-10.97),  Z:(172.42,174.24)
mzb:289, mmb:102  X:(63.93,65.56),  Y:(-12.47,-10.97),  Z:(169.93,171.56)
mzb:290, mmb:104  X:(60.64,62.27),  Y:(-8.02,-6.52),  Z:(174.38,176.01)
mzb:291, mmb:104  X:(62.34,64.17),  Y:(-8.02,-6.52),  Z:(175.60,177.42)
mzb:292, mmb:104  X:(59.58,61.60),  Y:(-8.02,-6.52),  Z:(175.99,178.01)
mzb:293, mmb:100  X:(60.58,63.24),  Y:(-11.97,-10.98),  Z:(174.66,177.01)
mzb:302, mmb:61  X:(55.91,56.05),  Y:(-7.18,-5.28),  Z:(180.07,181.98)
mzb:304, mmb:55  X:(46.06,48.16),  Y:(-4.88,-1.98),  Z:(170.77,173.14)
mzb:314, mmb:102  X:(60.47,62.41),  Y:(-15.48,-13.98),  Z:(174.43,176.36)
mzb:315, mmb:102  X:(61.58,63.51),  Y:(-15.48,-13.98),  Z:(172.98,174.91)
mzb:316, mmb:100  X:(60.36,63.02),  Y:(-10.48,-9.49),  Z:(174.76,177.14)
mzb:317, mmb:101  X:(66.71,67.80),  Y:(-10.49,-9.49),  Z:(170.22,171.30)
mzb:318, mmb:99  X:(50.28,52.00),  Y:(-7.99,-7.33),  Z:(172.39,174.13)
mzb:319, mmb:103  X:(54.19,55.51),  Y:(-6.36,-5.36),  Z:(180.23,181.55)
mzb:320, mmb:100  X:(60.56,63.22),  Y:(-10.48,-9.49),  Z:(176.57,178.92)
mzb:322, mmb:106  X:(51.31,52.38),  Y:(-4.82,-4.38),  Z:(190.02,191.08)
mzb:323, mmb:103  X:(51.80,53.35),  Y:(-6.06,-4.79),  Z:(188.96,190.36)
mzb:324, mmb:101  X:(62.50,63.88),  Y:(-12.98,-11.98),  Z:(170.98,172.36)
mzb:325, mmb:102  X:(63.88,65.89),  Y:(-12.47,-10.97),  Z:(180.36,182.37)
mzb:326, mmb:99  X:(63.13,64.62),  Y:(-10.15,-9.49),  Z:(178.44,180.20)
mzb:336, mmb:100  X:(49.53,51.99),  Y:(-6.39,-5.40),  Z:(171.77,173.57)
mzb:338, mmb:104  X:(66.49,68.52),  Y:(-7.16,-5.66),  Z:(180.73,182.76)
mzb:339, mmb:103  X:(64.31,65.66),  Y:(-6.69,-5.69),  Z:(181.07,182.41)
mzb:343, mmb:101  X:(60.81,62.09),  Y:(-16.48,-15.48),  Z:(174.95,176.23)
mzb:344, mmb:101  X:(62.65,63.73),  Y:(-11.97,-10.97),  Z:(171.12,172.21)
mzb:345, mmb:49  X:(69.52,70.90),  Y:(-12.85,-5.46),  Z:(180.71,182.35)
mzb:346, mmb:47  X:(53.60,54.45),  Y:(-7.51,-3.11),  Z:(188.21,189.53)
mzb:347, mmb:49  X:(56.16,62.73),  Y:(-9.83,-5.69),  Z:(170.41,170.82)
mzb:348, mmb:49  X:(56.03,61.41),  Y:(-10.62,-5.66),  Z:(168.78,171.99)
mzb:349, mmb:102  X:(58.73,60.57),  Y:(-7.29,-5.79),  Z:(170.47,172.31)
mzb:351, mmb:102  X:(51.62,53.70),  Y:(-8.55,-7.05),  Z:(170.97,173.05)
mzb:352, mmb:102  X:(51.75,53.58),  Y:(-7.06,-5.56),  Z:(171.09,172.93)
mzb:353, mmb:102  X:(49.71,51.68),  Y:(-7.00,-5.50),  Z:(169.73,171.70)
mzb:354, mmb:102  X:(61.03,62.87),  Y:(-15.48,-13.98),  Z:(176.52,178.36)
mzb:355, mmb:102  X:(52.92,54.42),  Y:(-6.56,-5.06),  Z:(187.44,188.94)
mzb:356, mmb:55  X:(40.52,43.36),  Y:(-1.82,-1.29),  Z:(173.45,176.84)
ParentNode [1604,59] X:40.00,80.00  Y:-40.00,0.00  Z:160.00,200.00
Parent: 1604,59] ChildBox 0)  X:(40.00,60.00)  Y:(-40.00,-20.00)  Z:(180.00,200.00)
Parent: 1604,59] ChildBox 1)  X:(60.00,80.00)  Y:(-40.00,-20.00)  Z:(180.00,200.00)
Parent: 1604,59] ChildBox 2)  X:(40.00,60.00)  Y:(-40.00,-20.00)  Z:(160.00,180.00)
Parent: 1604,59] ChildBox 3)  X:(60.00,80.00)  Y:(-40.00,-20.00)  Z:(160.00,180.00)
Parent: 1604,59] ChildBox 4)  X:(40.00,60.00)  Y:(-20.00,0.00)  Z:(180.00,200.00)
mzb:251, mmb:60  X:(50.62,56.22),  Y:(-10.75,-5.35),  Z:(187.38,188.45)
mzb:302, mmb:61  X:(55.91,56.05),  Y:(-7.18,-5.28),  Z:(180.07,181.98)
mzb:319, mmb:103  X:(54.19,55.51),  Y:(-6.36,-5.36),  Z:(180.23,181.55)
mzb:322, mmb:106  X:(51.31,52.38),  Y:(-4.82,-4.38),  Z:(190.02,191.08)
mzb:323, mmb:103  X:(51.80,53.35),  Y:(-6.06,-4.79),  Z:(188.96,190.36)
mzb:346, mmb:47  X:(53.60,54.45),  Y:(-7.51,-3.11),  Z:(188.21,189.53)
mzb:355, mmb:102  X:(52.92,54.42),  Y:(-6.56,-5.06),  Z:(187.44,188.94)
Parent: 1604,59] ChildBox 5)  X:(60.00,80.00)  Y:(-20.00,0.00)  Z:(180.00,200.00)
mzb:249, mmb:1  X:(70.17,70.67),  Y:(-8.13,-5.67),  Z:(185.80,186.30)
mzb:325, mmb:102  X:(63.88,65.89),  Y:(-12.47,-10.97),  Z:(180.36,182.37)
mzb:338, mmb:104  X:(66.49,68.52),  Y:(-7.16,-5.66),  Z:(180.73,182.76)
mzb:339, mmb:103  X:(64.31,65.66),  Y:(-6.69,-5.69),  Z:(181.07,182.41)
mzb:345, mmb:49  X:(69.52,70.90),  Y:(-12.85,-5.46),  Z:(180.71,182.35)
Parent: 1604,59] ChildBox 6)  X:(40.00,60.00)  Y:(-20.00,0.00)  Z:(160.00,180.00)
mzb:208, mmb:105  X:(45.38,46.42),  Y:(-2.94,-1.98),  Z:(174.85,175.90)
mzb:210, mmb:107  X:(45.55,47.01),  Y:(-3.18,-2.96),  Z:(173.83,174.92)
mzb:252, mmb:102  X:(45.89,47.39),  Y:(-3.46,-1.96),  Z:(172.32,173.82)
mzb:253, mmb:101  X:(45.76,46.97),  Y:(-2.97,-1.97),  Z:(173.91,175.12)
mzb:254, mmb:103  X:(49.43,50.84),  Y:(-6.45,-5.45),  Z:(175.69,177.10)
mzb:255, mmb:100  X:(49.94,52.51),  Y:(-6.39,-5.40),  Z:(173.36,175.39)
mzb:256, mmb:103  X:(52.09,53.15),  Y:(-9.54,-8.54),  Z:(171.42,172.48)
mzb:264, mmb:61  X:(53.98,54.12),  Y:(-7.18,-5.28),  Z:(178.04,179.94)
mzb:265, mmb:61  X:(53.98,54.12),  Y:(-7.18,-5.28),  Z:(176.04,177.94)
mzb:266, mmb:61  X:(53.98,54.12),  Y:(-7.18,-5.28),  Z:(174.04,175.94)
mzb:267, mmb:61  X:(53.98,54.12),  Y:(-7.18,-5.28),  Z:(172.04,173.94)
mzb:268, mmb:61  X:(53.98,54.12),  Y:(-7.18,-5.28),  Z:(170.04,171.94)
mzb:286, mmb:100  X:(49.86,52.05),  Y:(-7.36,-6.37),  Z:(171.82,174.45)
mzb:304, mmb:55  X:(46.06,48.16),  Y:(-4.88,-1.98),  Z:(170.77,173.14)
mzb:318, mmb:99  X:(50.28,52.00),  Y:(-7.99,-7.33),  Z:(172.39,174.13)
mzb:336, mmb:100  X:(49.53,51.99),  Y:(-6.39,-5.40),  Z:(171.77,173.57)
mzb:351, mmb:102  X:(51.62,53.70),  Y:(-8.55,-7.05),  Z:(170.97,173.05)
mzb:352, mmb:102  X:(51.75,53.58),  Y:(-7.06,-5.56),  Z:(171.09,172.93)
mzb:353, mmb:102  X:(49.71,51.68),  Y:(-7.00,-5.50),  Z:(169.73,171.70)
mzb:356, mmb:55  X:(40.52,43.36),  Y:(-1.82,-1.29),  Z:(173.45,176.84)
Parent: 1604,59] ChildBox 7)  X:(60.00,80.00)  Y:(-20.00,0.00)  Z:(160.00,180.00)
mzb:198, mmb:101  X:(64.97,65.97),  Y:(-7.46,-6.46),  Z:(178.91,179.91)
mzb:199, mmb:101  X:(64.35,65.35),  Y:(-7.52,-6.52),  Z:(177.86,178.86)
mzb:200, mmb:101  X:(64.74,65.74),  Y:(-8.46,-7.46),  Z:(178.53,179.53)
mzb:288, mmb:102  X:(63.27,65.09),  Y:(-12.47,-10.97),  Z:(172.42,174.24)
mzb:289, mmb:102  X:(63.93,65.56),  Y:(-12.47,-10.97),  Z:(169.93,171.56)
mzb:290, mmb:104  X:(60.64,62.27),  Y:(-8.02,-6.52),  Z:(174.38,176.01)
mzb:291, mmb:104  X:(62.34,64.17),  Y:(-8.02,-6.52),  Z:(175.60,177.42)
mzb:293, mmb:100  X:(60.58,63.24),  Y:(-11.97,-10.98),  Z:(174.66,177.01)
mzb:314, mmb:102  X:(60.47,62.41),  Y:(-15.48,-13.98),  Z:(174.43,176.36)
mzb:315, mmb:102  X:(61.58,63.51),  Y:(-15.48,-13.98),  Z:(172.98,174.91)
mzb:316, mmb:100  X:(60.36,63.02),  Y:(-10.48,-9.49),  Z:(174.76,177.14)
mzb:317, mmb:101  X:(66.71,67.80),  Y:(-10.49,-9.49),  Z:(170.22,171.30)
mzb:320, mmb:100  X:(60.56,63.22),  Y:(-10.48,-9.49),  Z:(176.57,178.92)
mzb:324, mmb:101  X:(62.50,63.88),  Y:(-12.98,-11.98),  Z:(170.98,172.36)
mzb:343, mmb:101  X:(60.81,62.09),  Y:(-16.48,-15.48),  Z:(174.95,176.23)
mzb:344, mmb:101  X:(62.65,63.73),  Y:(-11.97,-10.97),  Z:(171.12,172.21)
mzb:354, mmb:102  X:(61.03,62.87),  Y:(-15.48,-13.98),  Z:(176.52,178.36)
Parent: 1137,140] ChildBox 7)  X:(80.00,160.00)  Y:(-80.00,0.00)  Z:(160.00,240.00)
Parent: 774,363] ChildBox 5)  X:(160.00,320.00)  Y:(-160.00,0.00)  Z:(160.00,320.00)
mzb:67, mmb:21  X:(200.00,240.00),  Y:(-70.00,-39.00),  Z:(198.00,240.07)
mzb:75, mmb:20  X:(258.25,280.92),  Y:(-70.28,-38.88),  Z:(199.24,224.00)
mzb:95, mmb:108  X:(206.32,234.08),  Y:(-42.09,-38.85),  Z:(196.19,204.63)
mzb:98, mmb:109  X:(237.83,242.57),  Y:(-42.15,-38.99),  Z:(165.75,195.57)
mzb:380, mmb:0  X:(192.81,206.03),  Y:(-70.00,-39.12),  Z:(198.75,210.02)
mzb:383, mmb:64  X:(235.79,249.57),  Y:(-41.35,-39.00),  Z:(182.92,196.76)
mzb:386, mmb:100  X:(211.02,212.77),  Y:(-43.09,-42.10),  Z:(201.88,204.31)
mzb:387, mmb:102  X:(259.16,261.19),  Y:(-55.48,-53.98),  Z:(177.98,180.01)
mzb:388, mmb:103  X:(220.93,221.93),  Y:(-47.45,-46.45),  Z:(221.04,222.04)
mzb:389, mmb:103  X:(220.29,221.29),  Y:(-47.47,-46.47),  Z:(222.31,223.31)
mzb:390, mmb:103  X:(215.42,216.42),  Y:(-56.45,-55.45),  Z:(219.71,220.71)
mzb:391, mmb:101  X:(264.97,265.97),  Y:(-47.46,-46.46),  Z:(178.91,179.91)
mzb:392, mmb:101  X:(264.35,265.35),  Y:(-47.52,-46.52),  Z:(177.86,178.86)
mzb:393, mmb:101  X:(264.74,265.74),  Y:(-48.46,-47.46),  Z:(178.53,179.53)
mzb:396, mmb:101  X:(200.86,202.18),  Y:(-41.60,-40.60),  Z:(160.01,161.33)
mzb:397, mmb:99  X:(207.05,208.66),  Y:(-44.73,-44.07),  Z:(205.94,207.71)
mzb:398, mmb:99  X:(220.54,222.23),  Y:(-50.16,-49.50),  Z:(221.13,222.89)
mzb:401, mmb:105  X:(245.38,246.42),  Y:(-42.94,-41.98),  Z:(174.85,175.90)
mzb:402, mmb:106  X:(219.86,220.92),  Y:(-47.46,-46.48),  Z:(220.73,221.66)
mzb:403, mmb:107  X:(245.55,247.01),  Y:(-43.18,-42.96),  Z:(173.83,174.92)
mzb:409, mmb:50  X:(193.30,206.27),  Y:(-41.30,-39.00),  Z:(190.13,193.88)
mzb:410, mmb:51  X:(205.50,218.50),  Y:(-42.10,-39.00),  Z:(201.50,208.00)
mzb:411, mmb:52  X:(207.47,224.94),  Y:(-54.43,-45.50),  Z:(215.65,230.41)
mzb:412, mmb:52  X:(257.65,272.79),  Y:(-54.43,-45.50),  Z:(166.28,183.81)
mzb:413, mmb:53  X:(206.13,209.88),  Y:(-41.30,-39.00),  Z:(189.20,202.60)
mzb:414, mmb:59  X:(208.00,233.47),  Y:(-58.00,-45.00),  Z:(213.77,216.15)
mzb:415, mmb:59  X:(253.77,256.15),  Y:(-58.00,-45.00),  Z:(166.53,192.00)
mzb:417, mmb:46  X:(204.32,204.95),  Y:(-44.99,-38.99),  Z:(203.66,204.29)
mzb:420, mmb:47  X:(244.05,244.25),  Y:(-43.51,-39.00),  Z:(195.22,195.42)
mzb:421, mmb:46  X:(186.65,186.85),  Y:(-45.00,-39.00),  Z:(213.81,214.01)
mzb:422, mmb:48  X:(177.74,182.35),  Y:(-45.00,-39.00),  Z:(200.61,203.23)
mzb:423, mmb:1  X:(222.54,223.04),  Y:(-47.76,-45.30),  Z:(215.05,215.56)
mzb:424, mmb:46  X:(215.91,216.11),  Y:(-45.00,-39.00),  Z:(200.26,200.46)
